firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Deloitte,40384, Consulting Intern,Current Employee,Milan,3,2.0,,,4.0,2.0,3.0,o,r,o,Consulting intern oppinion,"- real hands one project wrok experiance
- possibility to learn 
- good working culture
- you work with young people","- about 20-30% lower salearies then in the other consulting firms
- it is not possible (officialy) to move between the practices in other countries"
Barclays,43338, Anonymous Employee,"Former Employee, more than 8 years","London, England, England",5,5.0,5.0,,4.0,4.0,4.0,v,v,o,Excellent Work & fairly reasonable people to work with,"Strong offshore development centre
Mature with processes even in India development centres",The pros mentioned may vary from business unit to business unit
Unilever,42190, ,Former Employee,,5,,,,,,,o,o,o,Best company to work for in Pakistan,"Great people, great perks, nice flexibility",It's a corporation at the end of the day.
DHL-Supply-Chain,44352, Material Handler,"Current Employee, more than 1 year","Fontana, CA",4,1.0,3.0,4.0,2.0,4.0,2.0,v,r,r,Decent,"Plenty of overtime, productivity bonus",Overtime is mandatory. If you don't like working overtime you won't have a choice
Thomson-Reuters,43041, Account Representative,"Current Employee, more than 3 years",Bangalore,3,4.0,4.0,,3.0,3.0,3.0,x,r,r,It's ok,"- close to home
- you contact mostly cpa's that own TR software
- 4 weeks of PTO each year","- tough to use all PTO each year
- accountants are tight with money
- calling accountants during tax season sucks"
Hampshire-County-Council,44242, Personnel Officer,Current Employee,"Southampton, England, England",5,,,,,,,o,o,o,good,excellent excellent excellent excellent excellent excellent,none none none none none none
Sky,42612, Sales Executive,"Current Employee, more than 1 year","Manchester, England, England",4,3.0,3.0,,2.0,4.0,2.0,v,r,r,Sky Media,"Good benefits - healthcare, travel loan, free sky TV and internet, discounts from retailers 
Good training opportunities","No progression, limited due to location"
EY,42874, Anonymous Employee,Current Employee,,4,3.0,5.0,,5.0,3.0,3.0,v,v,o,EY Review,"Big bright spot on your resume, and you learn a lot while building up those years of experience that are valuable to prospective future employers. The annual promotion/salary bump is a nice thing to be able to depend on. The people within the firm are typically pretty great, which provides for great networking opportunities.","Staffs (generally) have to be dismissed every day by someone higher than them, which is unfortunate considering they'd like to be treated as professionals."
Waitrose,44244, Sales Assistant,"Former Employee, more than 1 year","Godalming, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,o,Fantastic,Great team to work with,no cons / no significant cons
Booking-com,41866, Sales Coordinator,"Former Employee, more than 1 year","New York, NY",2,5.0,3.0,,2.0,1.0,1.0,x,v,x,Fancy name for a high school,The best things were the happy hours and free trips. Found some good friendships that continued after the job.. Steady income.,"Where to begin with the cons. Have you ever seen the movie ""Mean girls,"" or the 80's movie ""Heathers""? These movies are about one small click ruling the entire school and no one is allowed in this click, or accepted if the click doesn't approve. This is exactly what this office is like, except the click isn't  your coworkers, they are upper management, or the "" leadership team"" as they like to call themselves. No one can move up within the office unless you bow down and become their puppet. They pretend to be your friend and give you the sense to trust, until they get all they need from you and hang you out to dry. They give you false hopes of moving up, ask you for advice on projects and insight to take the credit for themselves later. Starting from the area manager to the seniors. They all greet you with fake smiles, and set up agendas to get rid of you. If you want to be part of this office and move up, I have some advice. Join all their soul cycling classes, and sing along to all their songs while at the office, this is the only way they will take you seriously.  In the end it doesn't matter what you do, if they don't like you, you are out of there. It doesn't matter how much you have done, it doesn't matter how much you know about the job. They rather hire people from the outside for a position than promote from within, but part of the formula is no outsourcing.. Sounds a bit contradicting if you ask me. but hey, what do I know, I'm just a person who proved their worth for years and continuously was told No, only because I chose not to have stool breath from kissing theirs."
Microsoft,41311, Marketing Communication Director,"Former Employee, more than 5 years","Redmond, WA",3,2.0,2.0,,2.0,3.0,2.0,x,o,r,Networking is Key,"Great Benefits
Experience working with Fortune 500 Clients","Limited Work Life Balance - depends on your team/group
Limited career opportunities outside of sales and technical careers
Very political - need to network outside your group to get promotion/bonus
Each team/business units has different set of priorities and goal so hard to partner"
Bupa,42529, Unit Manager,Current Employee,Bangalore,5,,,,,,,v,o,o,Unit Manager,Take a lead in championing care for vulnerable adults,communication need to be maintained at all times
BT,44336, Finance Manager,Current Employee,,5,4.0,,,,,,v,o,o,Great company to work with.,Best employer and employee friendly,To many system and processes.
PwC,44237, Senior,Former Employee,,3,,,,,,,o,o,o,Overall Okay Experience,"Benefits, People, resources, and Travel",Bureaucratic for most engagements. Pay isn't as great compared to other big 4.
Marks-and-Spencer,43385, ,"Former Employee, more than 1 year","London, England, England",3,4.0,3.0,,3.0,3.0,3.0,v,v,v,good place,good place to work and felt a family atmosphere,not too bad even though salary was a bit low
Dynatrace,43804, Named Account Manager,"Current Employee, less than 1 year","Richmond, VA",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,One of the best places to work in the world!!!...,"Great culture, great leaders and unbelievable product.",There are no cons or downsides.
Salesforce,44244, Customer Success Manager,Current Employee,,5,4.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to be,"Benefits, team members, customers, impact",Need to accept change and growth.
Goldman-Sachs,43259, Analyst,"Current Employee, more than 1 year",Bangalore,4,1.0,5.0,,1.0,5.0,1.0,x,v,x,Review,Good location and a nice culture within work,Suck up to your boss
Four-Seasons-Health-Care,44324, Registered Nurse,"Current Employee, less than 1 year","Whitehaven, England, England",4,4.0,4.0,4.0,4.0,3.0,4.0,v,v,v,There is life after working in the public sector,Good comprehensive training supportive manager and nursing colleagues,Health Education needed for carers
Vodafone,44229, Deputy Manager,"Former Employee, more than 5 years",Pune,2,1.0,3.0,3.0,2.0,2.0,1.0,x,x,v,Challenges,Environment is healthy. Working conditions is very good and HR is very cooperative.,No work life balance and there is no support from the management.
McKinsey-and-Company,42541, Anonymous Employee,Current Employee,,5,2.0,5.0,,5.0,4.0,4.0,x,v,r,Excellent,=-extremely stimulating work with diverse opportunities and Comprehensive training opportunities,"=-long hours given Compensation, work life balance is lacking"
IBM,44265, Research Assistant,Current Employee,"Toronto, ON",4,4.0,4.0,5.0,3.0,3.0,4.0,v,o,r,Operations,"Vallues, Innovation, Stability, Diversity, Environment","Salary, Burocracy, Empowermwnt, Promotion, Controls"
Marriott-International,43143, Restaurant Hostess,"Current Employee, more than 1 year",Entebbe,4,4.0,2.0,,5.0,5.0,3.0,v,v,v,restaurant hostess,My best interest is work to improve my standards of living also gain experience and exposure to new setting.,getting familiar and acquaintance to new environment may appear some how a challenge
Waitrose,44159, Student,Former Employee,"Bristol, England, England",5,,,,,,,o,o,o,Customer Service Team Leader,Great social side of company and customer care. Straightforward progression path if you wish to advance your career. Good mentoring and coaching system.,Sometimes poor organisation management and planning.
Deloitte,41855, Consultant,"Current Employee, more than 1 year","London, England, England",4,2.0,4.0,,3.0,2.0,4.0,v,r,r,"Good people, some interesting work, ridiculously poor work/life balance, pay below market rate",Partnership is much better structure than being public limited like Accenture for example; some very interesting work especially in the Digital area; very strong brand,"Pay below market rate (despite what they try to tell their staff); no respect for time or commitments outside of work - you are expected to work long hours Mon-Thurs, and sometimes Fri-Sun depending on the project"
Microsoft,42307, Seasoned FTE,Current Employee,"Dallas, TX",2,1.0,1.0,,3.0,3.0,1.0,x,r,v,Seasoned FTE,"For young professionals, and more specifically for Developers, Engineers and other technical or related roles, Microsoft is a major school that will yield solid foundation, will enable the participation in challenging projects and even provide decent compensation and benefits.
Field sales roles will also have the opportunity to make very good money in a not long period.","Microsoft has been developing a very political environment and the previously called stack ranking process (which was only rebranded for PR purposes), together with the ""good attrition"" target that every manager has (they are forced to let 5% of the people go each year), have contributed to the toxic and non-collaborative atmosphere in the company. After lay-offs and good attrition became standard operating procedure to make adjustments for any internal or external deviation, there are many ""clubs"" where groups of a certain affinity protect each other and play with the fire and hire tactics to keep each core intact, trading internal positions to give the impression of career movement, just to mention a few of the unfortunate aspects of the company's culture (or lack of). Microsoft became a company of middle managers that are very savvy on the political play, on making arrangements for survival with little to no space for taking risks, creativity or even have opinion."
Deloitte,44315, Product Manager,Current Employee,"Leuven, Flemish Brabant",3,,,,,,,o,o,o,no comments,"innovation, fast growing, market value","less freedom, less space to promotion,"
Blue-Yonder,44264, Senior Software Engineer,"Former Employee, more than 1 year",Hyderābād,3,4.0,4.0,4.0,1.0,4.0,1.0,v,v,v,Good culture-Politics-Bad Quality of work,"1. Hike
2. Culture
3. Office premises
4. Work Life balance
5. Leaves","1. Bad work quality
2. Politics
3. Bad mid management"
PwC,43273, Anonymous Employee,Current Employee,,5,3.0,5.0,,4.0,2.0,5.0,o,o,o,Love Working Here,Great flexibility and working environment.,Work obligations vary greatly throughout the year and often requires time outside the office.
PwC,43477, Anonymous Employee,Current Employee,,3,,,,,,,o,o,o,manager,"great working environment, but varies for different teams",very long hours during busy seasons
McDonald-s,44181, Cashier,Former Employee,,5,,,,,,,o,o,o,Nice,Good company lots of benefits for employees,No cons whatsoever great company
DHL-Supply-Chain,42686, Forklift Operator,Current Employee,"Lacombe, LA",4,2.0,3.0,,4.0,5.0,3.0,v,r,v,Excellent place to work,Competitive starting pay for hourly employees and quick advancement opportunities. Benefit packages are oh so good. Vacation time seems  to be very plentiful also.,After your initial training the learning curve is pretty steep for the first sixty days but achievable. Zero tolerance policy for possible emergencies that could come up in ones personal life.
